,term,score
0,dumbo,112.15583497263486
1,elephant,45.5590728192697
2,elephants,35.79441541679836
3,jumbo,31.02182669455858
4,hike,28.63553233343869
5,fly,27.93006895566898
6,baby,26.46006532642324
7,heave,26.2492379723188
8,climax,25.75078028915244
9,ears,22.050054438686036
10,ugh,21.476649250079017
11,hep,19.090354888959126
12,pink,17.827463277105537
13,mother,16.931471805599454
14,junior,16.704060527839236
15,dear,15.238324625039509
16,boss,14.317766166719345
17,pyramid,14.317766166719345
18,kootchy,14.317766166719345
19,raise,14.317766166719345
20,brother,13.545177444479563
21,save,13.545177444479563
22,birthday,11.931471805599454
23,darling,11.931471805599454
24,pounding,11.884975518070357
25,circus,11.884975518070357
26,tree,11.884975518070357
27,magic,11.884975518070357
28,feather,11.884975518070357
29,yoohoo,11.884975518070357
30,proud,11.760029033965886
31,funny,10.29002540472015
32,hit,10.158883083359672
33,ladies,10.158883083359672
34,dadada,9.545177444479563
35,stork,9.545177444479563
36,hoho,9.545177444479563
37,dearie,9.545177444479563
38,pachyderms,9.545177444479563
39,jumps,9.545177444479563
40,casey,9.545177444479563
41,pay,8.820021775474414
42,jump,8.820021775474414
43,girls,8.465735902799727
44,laugh,8.465735902799727
45,ho,7.350018146228678
46,boys,7.350018146228678
47,springboard,7.158883083359672
48,flag,7.158883083359672
49,peanut,7.158883083359672
50,gab,7.158883083359672
51,stupendous,7.158883083359672
52,roustabouts,7.158883083359672
53,clown,7.158883083359672
54,happyhearted,7.158883083359672
55,guys,7.158883083359672
56,certainly,6.772588722239782
57,eye,6.772588722239782
58,flying,6.772588722239782
59,gentlemen,6.772588722239782
60,trunk,5.942487759035179
61,bout,5.942487759035179
62,step,5.942487759035179
63,aboard,5.942487759035179
64,rubber,5.942487759035179
65,tie,5.942487759035179
66,parade,5.942487759035179
67,flew,5.942487759035179
68,mr,5.880014516982943
69,guy,5.880014516982943
70,wind,5.079441541679836
71,dead,5.079441541679836
72,comin,5.079441541679836
73,suppose,5.079441541679836
74,calls,5.079441541679836
75,ohh,5.079441541679836
76,uhoh,5.079441541679836
77,rat,5.079441541679836
78,thirteen,4.772588722239782
79,fella,4.772588722239782
80,freak,4.772588722239782
81,whee,4.772588722239782
82,fifteen,4.772588722239782
83,chase,4.772588722239782
